Sat Nov 23 22:47:16 2024    /Users/haydentedrake/Desktop/UROP2024/pbh_mass/output.prof

         7689405 function calls (7644922 primitive calls) in 21.312 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       47    0.007    0.000    0.007    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
        1    0.006    0.006    0.007    0.007 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/backends/backend_macosx.py:118(__init__)
        6    0.006    0.001    0.006    0.001 /opt/anaconda3/lib/python3.12/site-packages/dateutil/tz/_common.py:13(tzname_in_python2)
     5331    0.006    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
       30    0.006    0.000    0.032    0.001 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/__init__.py:851(_rc_params_in_file)
    11284    0.006    0.000    0.019    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/font_manager.py:1196(score_weight)
 1942/239    0.006    0.000    0.014    0.000 /opt/anaconda3/lib/python3.12/re/_compiler.py:37(_compile)
     8947    0.006    0.000    0.006    0.000 {method 'split' of 'str' objects}
      770    0.005    0.000    0.018    0.000 /opt/anaconda3/lib/python3.12/inspect.py:2393(_signature_from_function)
    734/5    0.005    0.000   13.779    2.756 <frozen importlib._bootstrap>:1349(_find_and_load)
        4    0.005    0.001    0.005    0.001 {built-in method matplotlib._path.update_path_extents}
18991/18353    0.005    0.000    4.759    0.000 {built-in method builtins.hasattr}
      576    0.005    0.000    0.330    0.001 <frozen importlib._bootstrap_external>:1062(get_code)
    62464    0.004    0.000    0.004    0.000 /opt/anaconda3/lib/python3.12/site-packages/numpy/core/fromnumeric.py:1877(_nonzero_dispatcher)
 2615/587    0.004    0.000    0.005    0.000 {built-in method _abc._abc_subclasscheck}
6567/6130    0.004    0.000    0.008    0.000 {built-in method __new__ of type object at 0x104c37320}
    26790    0.004    0.000    0.007    0.000 {built-in method _abc._abc_instancecheck}
    62432    0.004    0.000    0.004    0.000 /opt/anaconda3/lib/python3.12/site-packages/numpy/linalg/linalg.py:2379(_norm_dispatcher)
       68    0.004    0.000    0.007    0.000 {built-in method builtins.eval}
     1057    0.004    0.000    0.006    0.000 /opt/anaconda3/lib/python3.12/inspect.py:3025(__init__)
    26790    0.004    0.000    0.011    0.000 <frozen abc>:117(__instancecheck__)
     1152    0.004    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
